p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,88,NaN,0,13262,0,0,0,46.94,  Inf,0,0,-72,40,-1.6655,-72.3259,33.431
NaN,NaN,NaN,NaN,NaN,NaN,0,0,24.14,  Inf,0,-8,-70,26,-8.8987,-69.2049,20.9924
NaN,NaN,NaN,NaN,NaN,NaN,0,0,21.76,  Inf,0,2,-38,24,0.4557,-39.2675,22.1852
NaN,NaN,0,0,2996,0,0,0,15.73,  Inf,0,42,-62,46,37.1545,-63.7341,40.3068
NaN,NaN,NaN,NaN,NaN,NaN,0,0,15.69,  Inf,0,44,-70,38,39.0805,-70.4997,32.4916
NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.4,  Inf,0,50,-62,44,44.5813,-63.5983,38.6436
NaN,NaN,0,0,2922,0,0,0,15.65,  Inf,0,-40,-58,50,-38.7659,-59.9625,42.9832
NaN,NaN,NaN,NaN,NaN,NaN,0,0,15.04,  Inf,0,-52,-62,30,-49.6443,-61.8893,24.5996
NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.64,  Inf,0,-34,-58,42,-33.1191,-59.2945,35.9352
NaN,NaN,0,0,2287,0,0,0,14.81,  Inf,0,26,22,52,22.4789,14.0745,52.8352
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.68,  Inf,0,50,24,38,44.8585,17.0419,40.883
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.61,  Inf,0,42,12,52,37.2613,4.6817,52.1954
NaN,NaN,NaN,0,5417,0,0,0,14.17,  Inf,0,-26,62,8,-25.0267,55.4205,16.3112
NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.14,  Inf,0,30,60,8,26.7909,53.2885,16.9858
NaN,NaN,NaN,NaN,NaN,NaN,0,0,13.46,  Inf,0,2,32,40,0.4349,24.5509,42.6446
NaN,NaN,0,0,524,0,0,0,12.38,  Inf,0,42,-58,-44,38.2261,-52.1687,-39.656
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.16,  Inf,0,40,-72,-50,36.4125,-64.6789,-46.277
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.41,  Inf,0,46,-66,-46,41.9321,-59.4665,-42.0864
NaN,NaN,0,0,569,0,0,0,12.19,  Inf,0,62,-16,-10,56.4337,-16.0989,-5.3018
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.05,  Inf,0,64,-28,-2,58.1613,-27.9845,0.8082
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.13,  Inf,0,60,-40,-4,54.4545,-38.9703,-2.097
NaN,NaN,0,0,517,0,0,0,11.06,  Inf,0,-56,-18,-12,-52.7447,-17.2215,-9.0568
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.96,  Inf,0,-62,-24,-8,-58.3587,-23.1307,-6.1082
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.65,  Inf,0,-66,-36,-4,-62.1363,-34.6391,-3.659
NaN,NaN,0,0,55,0,0,0,10.34,  Inf,0,22,-20,-12,19.4317,-19.4591,-8.0478
NaN,NaN,0,0,16,0,0,0,10.33,  Inf,0,-10,0,14,-10.4399,-2.9381,16.4342
NaN,NaN,0,0,28,0,0,0,10.25,  Inf,0,-40,14,-10,-37.8851,12.3387,-4.2032
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,9.8,  Inf,0,-32,14,-14,-30.4347,12.6487,-7.6512
NaN,NaN,0,0,102,0,0,0,10,  Inf,0,40,18,-14,36.2037,16.0295,-6.2036
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,9.78,  Inf,0,30,20,-10,26.9073,17.5923,-2.6094
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,9.65,  Inf,0,48,22,-8,43.5457,19.1949,-0.3744
NaN,NaN,0,0,37,0,0,0,9.94,  Inf,0,-4,-10,-14,-4.5811,-9.8441,-9.3448
NaN,NaN,NaN,NaN,NaN,NaN,0,0.005,9.25, 7.67,0,2,-18,-20,1.0229,-16.8031,-15.3144
NaN,NaN,0,0,33,0,0,0.001,9.73,  Inf,0,-44,-26,12,-41.9423,-26.8223,11.8368
NaN,NaN,0,0,15,0,0,0.002,9.49, 7.80,0,-32,-70,-18,-30.5891,-65.2573,-18.638
NaN,NaN,0,0,11,0,0,0.003,9.36, 7.73,0,-52,-4,-22,-48.8915,-3.3273,-16.6838
NaN,NaN,0,0,12,0,0,0.004,9.31, 7.70,0,-18,2,-14,-17.5079,1.4023,-8.498
NaN,NaN,0,0,53,0,0,0.005,9.25, 7.67,0,0,-58,-22,-0.9003,-53.8833,-20.6616
NaN,NaN,0,0,28,0,0,0.011,9.05, 7.55,0,-2,-74,-8,-2.9547,-69.9987,-9.6112
NaN,NaN,NaN,NaN,NaN,NaN,0,0.022,8.87, 7.44,0,-2,-82,-12,-2.9267,-77.1031,-13.8872
NaN,NaN,0,0,4,0,0,0.011,9.04, 7.55,0,-34,-26,6,-32.6175,-26.3477,6.6344
NaN,NaN,0,0.006,2,0.004,0,0.013,9, 7.52,0,-28,32,-24,-26.5719,30.2693,-14.925
NaN,NaN,0,0,19,0,0,0.016,8.95, 7.49,0,-68,-20,-20,-63.7599,-18.3303,-16.555
NaN,NaN,NaN,NaN,NaN,NaN,0,0.048,8.67, 7.32,0,-62,-14,-24,-58.1459,-12.4211,-19.5036
NaN,NaN,0,0,12,0,0,0.019,8.91, 7.46,0,-14,-24,16,-14.2227,-25.4515,16.039
NaN,NaN,NaN,NaN,NaN,NaN,0,0.18,8.34, 7.11,0,-18,-30,12,-17.8915,-30.6735,11.8788
NaN,NaN,0,0,10,0,0,0.025,8.84, 7.42,0,-58,-24,-22,-54.4919,-21.9305,-18.541
NaN,NaN,0,0.001,3,0.001,0,0.025,8.83, 7.42,0,-38,-48,-32,-35.9235,-43.5139,-29.2802
NaN,NaN,0,0.006,2,0.004,0,0.025,8.83, 7.42,0,-56,-8,-28,-52.5319,-6.5119,-22.4522
NaN,NaN,0,0,4,0,0,0.028,8.81, 7.40,0,12,-32,-22,10.2669,-29.7193,-18.1834
NaN,NaN,0,0,4,0,0,0.028,8.8, 7.40,0,-30,28,30,-29.0695,21.8491,32.881
NaN,NaN,0,0,7,0,0,0.031,8.79, 7.39,0,-24,-42,-14,-23.1659,-39.5593,-12.4744
NaN,NaN,0,0.006,2,0.004,0,0.033,8.76, 7.38,0,26,-52,-52,23.5285,-45.8055,-46.5086
NaN,NaN,0,0.031,1,0.031,0,0.04,8.72, 7.35,0,0,-32,-14,-0.9323,-30.3585,-11.2266
NaN,NaN,0,0,10,0,0,0.05,8.66, 7.31,0,28,-90,2,24.6509,-85.9193,-1.644
NaN,NaN,0,0,17,0,0,0.05,8.66, 7.31,0,54,-10,-28,49.2573,-8.9031,-20.9568
NaN,NaN,0,0.006,2,0.004,0,0.051,8.65, 7.31,0,-20,-36,4,-19.6623,-35.5567,4.1794
NaN,NaN,0,0,9,0,0,0.051,8.65, 7.31,0,60,-26,-16,54.6297,-24.8827,-11.5696
NaN,NaN,0,0,5,0,0,0.068,8.59, 7.27,0,-46,-14,0,-43.6227,-14.5883,2.1572
NaN,NaN,0,0.031,1,0.031,0,0.07,8.58, 7.26,0,-14,-40,-12,-13.9307,-37.9183,-10.361
NaN,NaN,0,0,9,0,0,0.074,8.56, 7.25,0,8,4,6,6.3213,1.3987,9.9218
NaN,NaN,0,0.006,2,0.004,0,0.086,8.53, 7.23,0,56,-2,-18,51.0093,-2.3309,-11.296
NaN,NaN,0,0,4,0,0,0.097,8.5, 7.21,0,-48,-16,10,-45.5963,-17.3129,10.8742
NaN,NaN,0,0.006,2,0.004,0,0.097,8.49, 7.21,0,14,-52,-18,12.0225,-48.7093,-16.3494
NaN,NaN,0,0.006,2,0.004,0,0.102,8.48, 7.20,0,-14,-30,-24,-13.7651,-27.5571,-20.1868
NaN,NaN,0,0,7,0,0,0.103,8.48, 7.20,0,60,-26,14,54.2757,-27.4957,15.2024
NaN,NaN,0,0.001,3,0.001,0,0.105,8.47, 7.19,0,52,-50,-24,47.2633,-46.5059,-20.9496
NaN,NaN,0,0,4,0,0,0.105,8.47, 7.19,0,-2,-44,-22,-2.7175,-40.8313,-19.4558
NaN,NaN,0,0.006,2,0.004,0,0.109,8.46, 7.19,0,-12,-76,-52,-11.6943,-67.9815,-49.2054
NaN,NaN,0,0.031,1,0.031,0,0.112,8.46, 7.18,0,28,-40,-2,24.8181,-38.9909,-0.7986
NaN,NaN,0,0.001,3,0.001,0,0.132,8.42, 7.16,0,-34,-28,14,-32.7167,-28.9077,13.597
NaN,NaN,0,0.031,1,0.031,0,0.133,8.42, 7.16,0,-18,-28,-28,-17.4147,-25.3263,-23.6406
NaN,NaN,0,0.001,3,0.001,0,0.168,8.36, 7.12,0,20,0,-12,17.6289,-0.8175,-6.3122
NaN,NaN,0,0.031,1,0.031,0,0.178,8.34, 7.11,0,10,-100,8,7.8989,-95.6715,2.5538
NaN,NaN,0,0.031,1,0.031,0,0.188,8.33, 7.10,0,-24,26,-20,-22.9319,24.3121,-11.8244
NaN,NaN,0,0.001,3,0.001,0,0.209,8.3, 7.09,0,54,-22,12,48.7565,-23.5663,13.6796
NaN,NaN,0,0.006,2,0.004,0,0.212,8.3, 7.08,0,32,-70,-18,28.6365,-65.5645,-17.6652
NaN,NaN,0,0.001,3,0.001,0,0.219,8.29, 7.08,0,-36,20,-24,-34.0039,19.1285,-16.1062
NaN,NaN,0,0,4,0,0,0.236,8.28, 7.07,0,10,-72,-12,8.2021,-67.8447,-12.8218
NaN,NaN,0,0.006,2,0.004,0,0.252,8.26, 7.06,0,4,-56,68,1.7441,-59.8783,59.8918
NaN,NaN,0,0.001,3,0.001,0,0.269,8.24, 7.05,0,-12,16,-16,-11.8983,14.5901,-8.9554
NaN,NaN,0,0.001,3,0.001,0,0.278,8.23, 7.04,0,36,-42,-38,32.6413,-37.7569,-32.98
NaN,NaN,0,0.001,3,0.001,0,0.281,8.23, 7.04,0,-40,54,-6,-37.8363,49.2543,2.8984
NaN,NaN,0,0.006,2,0.004,0,0.305,8.21, 7.03,0,54,-56,-22,49.0761,-52.2793,-19.6642
NaN,NaN,0,0.006,2,0.004,0,0.33,8.19, 7.01,0,-22,-56,6,-21.5847,-54.3533,4.1678
NaN,NaN,0,0.031,1,0.031,0,0.33,8.19, 7.01,0,10,66,-2,8.4153,59.8451,8.2876
NaN,NaN,0,0.001,3,0.001,0,0.371,8.16, 7.00,0,48,0,-32,43.7761,0.7901,-23.7346
NaN,NaN,0,0.006,2,0.004,0,0.437,8.12, 6.97,0,24,-40,-14,21.2581,-37.9265,-11.5682
NaN,NaN,0,0.031,1,0.031,0,0.451,8.12, 6.96,0,-2,-34,-20,-2.7171,-31.6895,-16.788
NaN,NaN,0,0.001,3,0.001,0,0.456,8.11, 6.96,0,-20,-34,-42,-19.1147,-29.6869,-36.6944
NaN,NaN,0,0.031,1,0.031,0,0.461,8.11, 6.96,0,-32,0,62,-31.3651,-7.0133,58.935
NaN,NaN,0,0.031,1,0.031,0,0.464,8.11, 6.96,0,-46,-26,4,-43.6987,-26.1159,4.6672
NaN,NaN,0,0.006,2,0.004,0,0.472,8.1, 6.95,0,-52,24,28,-49.4143,18.4025,30.4086
NaN,NaN,0,0.031,1,0.031,0,0.479,8.1, 6.95,0,40,-50,-30,36.2293,-45.9257,-26.4864
