p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,92,NaN,0,6931,0,0,0,54.51,  Inf,0,-6,-60,14,-6.8823,-58.8533,11.197
NaN,NaN,NaN,NaN,NaN,NaN,0,0,22.72,  Inf,0,16,-54,18,13.4437,-53.7177,15.6308
NaN,NaN,NaN,NaN,NaN,NaN,0,0,18.55,  Inf,0,0,-62,34,-1.5707,-62.4873,28.9596
NaN,NaN,0,0,2236,0,0,0,17.94,  Inf,0,-40,-74,38,-38.6627,-73.8229,30.8616
NaN,NaN,NaN,NaN,NaN,NaN,0,0,15.74,  Inf,0,-50,-62,26,-47.7463,-61.5505,21.0604
NaN,NaN,NaN,NaN,NaN,NaN,0,0,15.39,  Inf,0,-50,-70,30,-47.8127,-69.3517,23.9236
NaN,NaN,0,0,1671,0,0,0,15.92,  Inf,0,48,-70,36,42.8057,-70.3447,30.7676
NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.98,  Inf,0,54,-64,32,48.4197,-64.4355,27.819
NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.94,  Inf,0,48,-60,28,42.9241,-60.3319,24.5114
NaN,NaN,0,0,910,0,0,0,15.8,  Inf,0,28,24,50,24.3581,16.1023,51.2574
NaN,NaN,NaN,NaN,NaN,NaN,0,0,13.65,  Inf,0,24,34,50,20.6805,25.4375,52.0796
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.77,  Inf,0,22,24,42,18.9001,16.8279,44.027
NaN,NaN,0,0,1763,0,0,0,15.66,  Inf,0,-22,24,44,-21.8411,16.8649,45.143
NaN,NaN,NaN,NaN,NaN,NaN,0,0,15.53,  Inf,0,-26,18,54,-25.6751,10.4235,53.4764
NaN,NaN,NaN,NaN,NaN,NaN,0,0,13.38,  Inf,0,-22,34,48,-21.8643,25.8325,49.5956
NaN,NaN,NaN,0,3069,0,0,0,15.49,  Inf,0,2,60,0,0.9741,54.1197,9.421
NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.4,  Inf,0,4,52,-10,2.9237,47.5283,-0.178999999999998
NaN,NaN,NaN,NaN,NaN,NaN,0,0,13.92,  Inf,0,0,60,14,-1.0419,52.9099,21.8842
NaN,NaN,0,0,169,0,0,0,14.26,  Inf,0,-10,-82,-40,-9.9995,-74.6259,-38.996
NaN,NaN,0,0,394,0,0,0,14.04,  Inf,0,56,-8,-16,50.9713,-8.0947,-10.041
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.5,  Inf,0,62,-14,-8,56.4149,-14.4099,-3.3404
NaN,NaN,NaN,NaN,NaN,NaN,0,0.009,9.1, 7.58,0,48,-16,-12,43.5017,-15.8575,-7.2994
NaN,NaN,0,0,252,0,0,0,13.12,  Inf,0,8,-48,-38,6.7157,-43.2121,-33.9354
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.23,  Inf,0,-12,-48,-44,-11.7215,-42.5935,-39.5938
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.9,  Inf,0,20,-42,-46,17.9293,-36.9833,-40.3624
NaN,NaN,0,0,924,0,0,0,12.73,  Inf,0,-64,-18,-8,-60.1951,-17.5315,-5.6088
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.37,  Inf,0,-64,-6,-16,-60.0719,-5.6555,-11.6884
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.31,  Inf,0,-56,-16,-12,-52.7399,-15.3583,-8.8802
NaN,NaN,0,0,54,0,0,0,12.08,  Inf,0,0,8,-10,-0.8835,6.5571,-4.125
NaN,NaN,NaN,NaN,NaN,NaN,0,0.011,9.06, 7.56,0,-6,4,-14,-6.3983,3.2079,-8.139
NaN,NaN,0,0,145,0,0,0,11.97,  Inf,0,28,-14,-20,25.0929,-13.2015,-14.566
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.84,  Inf,0,22,-20,-16,19.4789,-19.1107,-11.6174
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.48,  Inf,0,18,-14,-22,15.8625,-12.9793,-16.5028
NaN,NaN,0,0,180,0,0,0,11.78,  Inf,0,30,-34,-16,26.8485,-32.1915,-12.732
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.47,  Inf,0,24,-38,-12,21.2393,-36.2375,-9.6068
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,9.65,  Inf,0,28,-28,-24,25.1065,-25.8955,-19.3718
NaN,NaN,0,0,56,0,0,0,11.38,  Inf,0,36,36,-12,32.5217,32.6433,-2.8902
NaN,NaN,0,0,109,0,0,0,11.32,  Inf,0,10,-84,-36,8.4565,-76.9335,-35.299
NaN,NaN,NaN,NaN,NaN,NaN,0,0.035,8.78, 7.38,0,20,-84,-36,17.7105,-76.9815,-35.147
NaN,NaN,0,0,119,0,0,0,10.65,  Inf,0,14,-96,-2,11.7281,-91.0933,-5.9562
NaN,NaN,NaN,NaN,NaN,NaN,0,0.003,9.39, 7.75,0,22,-98,-12,19.2445,-92.1239,-14.9352
NaN,NaN,NaN,NaN,NaN,NaN,0,0.066,8.61, 7.28,0,16,-90,-10,13.6877,-84.8165,-12.5352
NaN,NaN,0,0,115,0,0,0,10.33,  Inf,0,44,-68,-38,39.9821,-62.0169,-35.1542
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,9.66,  Inf,0,40,-72,-50,36.4125,-64.6789,-46.277
NaN,NaN,NaN,NaN,NaN,NaN,0,0.003,9.37, 7.74,0,44,-60,-42,40.0485,-54.2157,-38.0174
