p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,86,0,0,4761,0,0,0,34.38,  Inf,0,0,-72,40,-1.6655,-72.3259,33.431
NaN,NaN,NaN,NaN,NaN,NaN,0,0,15.71,  Inf,0,2,-38,24,0.4557,-39.2675,22.1852
NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.87,  Inf,0,0,-30,28,-1.4231,-32.1535,26.4308
NaN,NaN,0,0,1916,0,0,0,13.37,  Inf,0,-40,-58,50,-38.7659,-59.9625,42.9832
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.98,  Inf,0,-40,-52,42,-38.6571,-53.6761,36.3738
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.4,  Inf,0,-56,-52,36,-53.3927,-53.0767,30.7762
NaN,NaN,0,0,2402,0,0,0,13.05,  Inf,0,44,-62,46,39.0053,-63.7437,40.3372
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.41,  Inf,0,50,-56,50,44.5249,-58.5313,44.5278
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.12,  Inf,0,58,-50,44,52.0133,-52.4575,39.8248
NaN,NaN,0,0,2986,0,0,0,11.21,  Inf,0,-8,-76,-26,-8.2995,-70.2653,-25.9422
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.15,  Inf,0,-42,-66,-42,-39.5503,-59.3925,-39.8544
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.12,  Inf,0,-14,-84,-28,-13.8475,-77.5151,-28.5246
NaN,NaN,0,0,2973,0,0,0,10.46,  Inf,0,30,60,8,26.7909,53.2885,16.9858
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.32,  Inf,0,46,14,50,40.9913,6.6999,50.648
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.5, 7.81,0,30,54,2,26.8473,48.2215,11.1016
NaN,NaN,0,0,1047,0,0,0,9.79,  Inf,0,2,32,40,0.4349,24.5509,42.6446
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.47, 7.80,0,2,38,26,0.6145,31.3599,30.6808
NaN,NaN,NaN,NaN,NaN,NaN,0,0,8.92, 7.47,0,8,42,18,6.2709,35.7543,23.986
NaN,NaN,0,0,297,0,0,0,9.54, 7.83,0,62,-28,-6,56.3577,-27.6265,-2.7918
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,7.36, 6.45,0,58,-38,-4,52.6085,-37.0975,-1.9508
NaN,NaN,NaN,NaN,NaN,NaN,0,0.006,6.97, 6.18,0,54,-22,-10,49.0161,-21.6501,-5.9532
NaN,NaN,0,0,91,0,0,0,9.25, 7.67,0,4,-44,8,2.4809,-43.4731,7.4074
NaN,NaN,NaN,NaN,NaN,NaN,0,0.002,7.32, 6.43,0,-4,-40,6,-4.8891,-39.5341,5.8542
NaN,NaN,0,0,352,0,0,0,8.67, 7.32,0,40,-60,-44,36.3705,-54.0223,-39.863
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,7.64, 6.65,0,40,-74,-46,36.3605,-66.8905,-42.884
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,7.36, 6.46,0,38,-52,-42,34.5153,-46.7341,-37.4022
NaN,NaN,0,0,672,0,0,0,8.66, 7.31,0,-24,54,8,-23.1951,47.9581,15.6352
NaN,NaN,NaN,NaN,NaN,NaN,0,0,8.08, 6.94,0,-32,56,4,-30.5463,50.2081,12.1206
NaN,NaN,NaN,NaN,NaN,NaN,0,0,7.66, 6.66,0,-26,60,18,-25.1495,52.6863,25.0586
NaN,NaN,0,0,167,0,0,0,8.19, 7.01,0,-44,22,40,-42.1575,15.4557,41.0624
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,7.46, 6.52,0,-44,14,48,-42.2711,7.3061,47.4952
NaN,NaN,0,0,187,0,0,0,8.03, 6.91,0,46,20,-6,41.6665,17.1671,1.2034
NaN,NaN,NaN,NaN,NaN,NaN,0,0,7.79, 6.75,0,52,20,8,47.0537,15.9189,13.7882
NaN,NaN,NaN,NaN,NaN,NaN,0,0.02,6.64, 5.94,0,38,18,-12,34.3293,15.8649,-4.4492
NaN,NaN,0,0,172,0,0,0,7.79, 6.75,0,4,-6,10,2.5485,-8.2465,12.5476
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,7.53, 6.57,0,6,-26,10,4.3513,-26.8881,10.812
NaN,NaN,NaN,NaN,NaN,NaN,0,0.004,7.06, 6.25,0,-8,-12,8,-8.5471,-13.6043,10.0506
NaN,NaN,0,0,22,0,0,0.001,7.37, 6.46,0,-40,16,-8,-37.9039,14.0277,-2.2418
NaN,NaN,0,0.001,9,0,0,0.002,7.32, 6.43,0,-6,-58,-56,-6.0515,-50.8931,-51.0944
NaN,NaN,0,0,49,0,0,0.002,7.29, 6.40,0,-2,-58,-22,-2.7511,-53.8737,-20.692
NaN,NaN,0,0,53,0,0,0.003,7.14, 6.30,0,-36,32,34,-34.6595,25.2559,36.7126
NaN,NaN,NaN,NaN,NaN,NaN,0.022,0.521,5.68, 5.22,0,-38,32,42,-36.6047,24.5687,43.8214
NaN,NaN,0,0.002,7,0.001,0,0.004,7.08, 6.26,0,14,-8,22,11.6561,-11.2029,23.2318
NaN,NaN,0,0.001,9,0,0,0.005,7.02, 6.21,0,-24,14,-6,-23.1259,11.9135,-0.390400000000001
NaN,NaN,0,0,34,0,0,0.007,6.91, 6.14,0,10,2,10,8.1201,-0.8225,13.3452
NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.097,6.19, 5.61,0,16,0,20,13.5497,-3.5855,22.1838
NaN,NaN,0,0,16,0,0,0.008,6.88, 6.12,0,30,20,-10,26.9073,17.5923,-2.6094
NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.14,6.08, 5.53,0,36,26,-8,32.4505,22.9789,-0.203599999999999
NaN,NaN,0.001,0.017,4,0.008,0,0.011,6.8, 6.06,0,-36,-22,-2,-34.3643,-21.9149,-0.182
NaN,NaN,0,0,46,0,0,0.019,6.66, 5.95,0,-22,50,32,-21.6371,42.1317,36.73
NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.084,6.23, 5.64,0,-26,40,30,-25.3391,33.0091,34.0014
