p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,62,0,0,25333,0,0,0,25.6,  Inf,0,-6,-67,39,-7.1941,-67.552,32.8889
NaN,NaN,NaN,NaN,NaN,NaN,0,0,16.96,  Inf,0,-16,-65,43,-16.4905,-65.9892,36.4831
NaN,NaN,NaN,NaN,NaN,NaN,0,0,13.27,  Inf,0,10,-65,40,7.6053,-65.8527,34.2011
NaN,NaN,0,0,63733,0,0,0,12.83,  Inf,0,-35,-14,-10,-33.3253,-13.7701,-6.5996
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.52,  Inf,0,-4,-1,-1,-4.7129,-2.592,3.0511
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.49,  Inf,0,-28,-35,4,-27.0631,-34.5867,4.1461
NaN,NaN,0.001,0.84,2,0.758,0,0,10.6,  Inf,0,-6,-34,-44,-6.1355,-29.5799,-38.2664
NaN,NaN,0,0,7809,0,0,0,10.28,  Inf,0,29,-5,54,25.1667,-11.2673,52.2815
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.06,  Inf,0,38,-5,47,33.5779,-10.7008,46.1715
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.55,  Inf,0,51,8,18,45.9815,3.8735,21.6374
NaN,NaN,0,0,3253,0,0,0,9.8,  Inf,0,-19,64,-1,-18.4379,58.034,8.5626
NaN,NaN,NaN,NaN,NaN,NaN,0,0,8.95, 7.64,0,-19,56,10,-18.5869,49.6231,17.6726
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,7.75, 6.83,0,-36,59,-1,-34.1817,53.4576,7.8627
NaN,NaN,0,0,1131,0,0,0,9.28, 7.84,0,30,-10,-8,26.8117,-10.5299,-3.4736
NaN,NaN,NaN,NaN,NaN,NaN,0,0.029,6.84, 6.18,0,30,14,-7,26.8575,11.7414,-0.462
NaN,NaN,NaN,NaN,NaN,NaN,0,0.041,6.75, 6.11,0,18,22,2,15.6657,18.4679,8.0936
NaN,NaN,0,0.079,108,0.019,0,0,9.26, 7.82,0,-4,-35,-50,-4.2163,-29.9985,-43.6787
NaN,NaN,NaN,NaN,NaN,NaN,0,0.005,7.28, 6.50,0,-5,-41,-57,-5.0735,-34.9736,-50.4705
NaN,NaN,0,0.016,206,0.002,0,0,9.08, 7.72,0,32,-35,2,28.4845,-34.7005,3.2733
NaN,NaN,0,0.075,113,0.017,0,0,8.95, 7.64,0,0,-32,-44,-0.5783,-27.7455,-37.9986
NaN,NaN,0,0,766,0,0,0,8.83, 7.57,0,-9,-32,66,-10.2049,-37.2833,60.0286
NaN,NaN,NaN,NaN,NaN,NaN,0,0,8.57, 7.39,0,-26,-30,57,-25.8257,-34.5546,51.9152
NaN,NaN,NaN,NaN,NaN,NaN,0,0,7.93, 6.96,0,-19,-28,54,-19.3077,-32.4637,49.521
NaN,NaN,0.001,0.84,6,0.562,0,0,8.17, 7.13,0,0,-37,-43,-0.6021,-32.4906,-37.5477
NaN,NaN,0,0.018,194,0.003,0,0,8.02, 7.02,0,-19,20,44,-19.0745,13.1241,44.8354
NaN,NaN,NaN,NaN,NaN,NaN,0,0.014,7.02, 6.31,0,-19,6,48,-19.1553,-0.2667,47.1688
NaN,NaN,0,0.17,69,0.053,0,0.003,7.41, 6.60,0,10,-35,67,7.3587,-40.2564,60.9449
NaN,NaN,NaN,NaN,NaN,NaN,0,0.009,7.12, 6.38,0,18,-31,63,14.8187,-36.22,57.8501
NaN,NaN,0,0.012,226,0.002,0,0.004,7.38, 6.57,0,16,-2,24,13.4977,-5.7971,25.5768
NaN,NaN,0,0.08,105,0.021,0,0.004,7.31, 6.52,0,42,2,17,37.6503,-1.5858,20.0784
NaN,NaN,NaN,NaN,NaN,NaN,0,0.083,6.57, 5.97,0,38,8,14,33.9985,4.2843,17.8702
NaN,NaN,NaN,NaN,NaN,NaN,0,0.429,6.14, 5.64,0,38,-6,18,33.9177,-9.1065,20.2036
NaN,NaN,0,0,502,0,0,0.005,7.28, 6.50,0,18,-95,2,15.3849,-90.5293,-2.2375
NaN,NaN,NaN,NaN,NaN,NaN,0,0.046,6.72, 6.09,0,15,-91,10,12.5239,-87.4853,5.2093
NaN,NaN,NaN,NaN,NaN,NaN,0,0.381,6.17, 5.67,0,22,-92,-6,19.1881,-87.0569,-9.051
NaN,NaN,0,0.246,47,0.103,0,0.006,7.26, 6.48,0,-16,-1,59,-16.5257,-7.7604,56.4127
NaN,NaN,0,0.17,63,0.063,0,0.007,7.19, 6.43,0,-20,-16,60,-20.2751,-21.8023,55.9198
NaN,NaN,0,0.027,169,0.005,0,0.011,7.08, 6.35,0,34,-65,32,29.9093,-65.2711,27.4267
NaN,NaN,NaN,NaN,NaN,NaN,0,0.026,6.86, 6.19,0,31,-66,42,27.0127,-67.0593,36.2168
NaN,NaN,0,0.064,123,0.013,0,0.014,7.02, 6.31,0,41,43,-7,37.1065,38.705,2.2659
NaN,NaN,0,0.64,16,0.33,0,0.018,6.96, 6.26,0,-20,-6,52,-20.1567,-11.7895,49.6636
NaN,NaN,0.001,0.84,2,0.758,0,0.019,6.94, 6.25,0,-30,-28,12,-28.9915,-28.7527,11.873
