p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,7,0,0,16696,0,0,0,45.13,Inf,0,5,-58,18,3.2547,-57.3913,15.1104
NaN,NaN,NaN,NaN,NaN,NaN,0,0,13.67,Inf,0,18,-31,-11,15.6919,-29.7746,-8.1875
NaN,NaN,NaN,NaN,NaN,NaN,0,0,13.4,Inf,0,16,-45,4,13.6305,-44.1139,3.9319
NaN,NaN,0,0.002,292,0,0,0.029,6.87,6.2,0,1,45,14,-0.1525,38.9311,20.5749
NaN,NaN,NaN,NaN,NaN,NaN,0,0.293,6.26,5.73,0,1,48,6,-0.0508999999999999,42.4227,13.7006
NaN,NaN,0,0.606,15,0.346,0,0.054,6.7,6.07,0,2,-60,-3,0.7215,-57.411,-3.8522
NaN,NaN,0,0.143,64,0.061,0,0.057,6.68,6.05,0,1,42,-14,0.1707,38.5751,-4.6772
NaN,NaN,0,0.623,10,0.445,0,0.301,6.24,5.72,0,2,58,-3,1.0047,52.5178,6.5672
NaN,NaN,0.001,0.84,1,0.84,0.001,0.893,5.95,5.49,0,8,34,4,6.4169,29.5209,10.786
NaN,NaN,0.001,0.84,2,0.758,0.001,0.964,5.93,5.47,0,8,54,-2,6.5357,48.6755,7.1976
