p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,67,NaN,0,206607,0,0,0,32.66,  Inf,0,1,-68,39,-0.7187,-68.5172,32.907
NaN,NaN,NaN,NaN,NaN,NaN,0,0,20.72,  Inf,0,15,-31,3,12.7505,-30.9796,4.2605
NaN,NaN,NaN,NaN,NaN,NaN,0,0,19.1,  Inf,0,-4,-36,-21,-4.5609,-33.456,-17.8874
NaN,NaN,0,0.758,2,0.644,0,0,16.22,  Inf,0,-6,-34,-44,-6.1355,-29.5799,-38.2664
NaN,NaN,0,0,873,0,0,0,13.89,  Inf,0,-14,-28,59,-14.7397,-32.9232,54.059
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.67,  Inf,0,-28,-30,57,-27.6765,-34.545,51.8848
NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.35,  Inf,0,-22,-28,63,-22.1901,-33.2332,57.507
NaN,NaN,0,0.01,120,0.001,0,0,13.76,  Inf,0,0,-35,-44,-0.5855,-30.5403,-38.2635
NaN,NaN,0,0.706,6,0.401,0,0,13.47,  Inf,0,1,-37,-43,0.3233,-32.4954,-37.5325
NaN,NaN,0,0.005,141,0.001,0,0,9.92,  Inf,0,10,-35,67,7.3587,-40.2564,60.9449
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.75,  Inf,0,18,-31,63,14.8187,-36.22,57.8501
NaN,NaN,NaN,NaN,NaN,NaN,0,0.084,8.09, 7.07,0,10,-28,72,7.3165,-34.1707,66.025
NaN,NaN,0,0.758,2,0.644,0,0,9.67,  Inf,0,-30,-28,12,-28.9915,-28.7527,11.873
NaN,NaN,0,0,295,0,0,0,9.58,  Inf,0,34,-74,-13,30.4187,-69.736,-13.526
NaN,NaN,NaN,NaN,NaN,NaN,0,0.003,8.82, 7.55,0,38,-56,-12,34.1517,-53.0735,-10.9834
NaN,NaN,0,0.02,99,0.003,0,0,9.38,  Inf,0,51,-4,-26,46.4719,-3.4733,-18.6878
NaN,NaN,0,0.002,182,0,0,0.001,9.15, 7.76,0,-40,-17,47,-38.6321,-21.5056,43.9263
NaN,NaN,0,0.758,3,0.562,0,0.002,8.92, 7.62,0,-35,-35,12,-33.6353,-35.2499,11.1789
NaN,NaN,0,0.758,3,0.562,0,0.002,8.91, 7.61,0,-8,-36,-43,-8.0029,-31.5206,-37.581
NaN,NaN,0,0.025,91,0.004,0,0.003,8.89, 7.60,0,34,-65,32,29.9093,-65.2711,27.4267
NaN,NaN,NaN,NaN,NaN,NaN,0,0.037,8.28, 7.20,0,31,-66,42,27.0127,-67.0593,36.2168
NaN,NaN,0,0,254,0,0,0.003,8.88, 7.59,0,-48,29,8,-45.4647,24.7833,13.0629
NaN,NaN,NaN,NaN,NaN,NaN,0,0.804,7.57, 6.71,0,-48,34,14,-45.5235,28.9187,18.8588
NaN,NaN,0,0.447,17,0.16,0,0.003,8.83, 7.56,0,-20,-6,52,-20.1567,-11.7895,49.6636
NaN,NaN,0,0.758,2,0.644,0,0.015,8.49, 7.34,0,-30,-28,64,-29.6051,-33.2819,58.2778
NaN,NaN,0,0.567,11,0.254,0,0.016,8.46, 7.32,0,-21,-16,60,-21.2005,-21.7975,55.9046
NaN,NaN,0,0.237,28,0.078,0,0.018,8.44, 7.30,0,39,-78,-2,34.9063,-74.4445,-3.9868
NaN,NaN,0,0.134,46,0.029,0,0.018,8.43, 7.30,0,-26,-90,-3,-25.2617,-85.2246,-6.9268
NaN,NaN,0,0.233,29,0.073,0,0.021,8.41, 7.29,0,50,-41,34,44.7497,-43.1637,31.5739
NaN,NaN,0,0.541,12,0.234,0,0.021,8.41, 7.28,0,-16,-1,59,-16.5257,-7.7604,56.4127
NaN,NaN,0,0.001,199,0,0,0.022,8.4, 7.28,0,54,-56,18,48.6041,-55.7633,16.0318
NaN,NaN,NaN,NaN,NaN,NaN,0,0.03,8.32, 7.23,0,51,-48,22,45.7999,-48.6445,20.2622
