p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,59,NaN,0,209057,0,0,0,47.9,  Inf,0,5,-58,18,3.2547,-57.3913,15.1104
NaN,NaN,NaN,NaN,NaN,NaN,0,0,20.78,  Inf,0,-30,-8,-7,-28.7193,-8.4658,-3.3166
NaN,NaN,NaN,NaN,NaN,NaN,0,0,20.39,  Inf,0,-31,-17,-7,-29.6663,-16.8454,-4.1265
NaN,NaN,0,0.746,2,0.632,0,0,16.78,  Inf,0,-6,-34,-44,-6.1355,-29.5799,-38.2664
NaN,NaN,0,0.001,184,0,0,0,14.4,  Inf,0,-5,-35,-48,-5.1653,-30.1679,-41.9091
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.19,  Inf,0,-4,-40,-57,-4.1457,-34.0468,-50.367
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,9.1, 7.73,0,5,-40,-57,4.1829,-34.09,-50.2302
NaN,NaN,0,0,13208,0,0,0,14.27,  Inf,0,28,-7,56,24.2129,-13.2999,53.8745
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,  Inf,0,41,-4,44,36.3919,-9.5223,43.6282
NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.02,  Inf,0,46,2,37,41.1159,-3.347,37.9872
NaN,NaN,0,0,710,0,0,0,13.94,  Inf,0,-10,-32,63,-11.0949,-37.0172,57.3362
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.24,  Inf,0,-28,-22,56,-27.6455,-27.0051,51.6988
NaN,NaN,NaN,NaN,NaN,NaN,0,0,10.19,  Inf,0,-18,-30,56,-18.4107,-34.5059,51.1444
NaN,NaN,0,0.005,119,0.001,0,0,13.62,  Inf,0,0,-35,-44,-0.5855,-30.5403,-38.2635
NaN,NaN,0,0.668,6,0.385,0,0,12.27,  Inf,0,1,-37,-43,0.3233,-32.4954,-37.5325
NaN,NaN,0,0.735,3,0.548,0,0,11.3,  Inf,0,-8,-36,-43,-8.0029,-31.5206,-37.581
NaN,NaN,0,0,755,0,0,0,10.43,  Inf,0,54,-52,12,48.6845,-51.5143,11.0306
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.43,  Inf,0,60,-46,4,54.3457,-45.2567,4.5124
NaN,NaN,0,0.532,11,0.239,0,0,10.37,  Inf,0,20,-22,19,17.2103,-24.0128,19.4096
NaN,NaN,0,0.735,4,0.483,0,0,10.18,  Inf,0,-30,-28,12,-28.9915,-28.7527,11.873
NaN,NaN,0,0.519,12,0.22,0,0,9.93,  Inf,0,6,-38,-43,4.9479,-33.451,-37.5448
NaN,NaN,0,0,405,0,0,0,9.92,  Inf,0,32,-28,62,27.7933,-33.4053,57.4354
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.59,  Inf,0,18,-31,62,14.8305,-36.1329,56.9577
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,9.11, 7.74,0,26,-24,57,22.3095,-29.2146,53.2354
NaN,NaN,0,0,695,0,0,0,9.79,  Inf,0,51,3,-7,46.2645,1.393,-1.1141
NaN,NaN,NaN,NaN,NaN,NaN,0,0.004,8.8, 7.54,0,55,-5,-7,49.9469,-6.079,-1.7597
NaN,NaN,NaN,NaN,NaN,NaN,0,0.131,7.99, 7.00,0,55,4,-14,50.0511,2.9151,-7.2118
NaN,NaN,0,0.041,64,0.01,0,0,9.44,  Inf,0,59,-26,-6,53.5863,-25.7489,-2.6608
NaN,NaN,0,0.216,28,0.07,0,0,9.36,  Inf,0,-19,22,40,-19.0225,15.3357,41.4424
NaN,NaN,0,0.001,189,0,0,0.001,9.19, 7.79,0,28,-72,40,24.2457,-72.4603,33.8566
NaN,NaN,NaN,NaN,NaN,NaN,0,0.021,8.42, 7.29,0,34,-65,32,29.9093,-65.2711,27.4267
NaN,NaN,0,0.001,159,0,0,0.001,9.1, 7.73,0,55,-17,10,49.7175,-18.7389,12.3515
NaN,NaN,NaN,NaN,NaN,NaN,0,0.12,8.01, 7.02,0,52,-18,3,47.0215,-19.0464,5.9708
NaN,NaN,0,0.532,10,0.261,0,0.003,8.84, 7.57,0,-48,-31,34,-45.9155,-33.3773,30.9673
