p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,14,NaN,0,98521,0,0,0,35.93,Inf,0,-2,-70,42,-3.5351,-70.6273,35.362
NaN,NaN,NaN,NaN,NaN,NaN,0,0,20.41,Inf,0,-38,-54,48,-36.8819,-56.0715,41.582
NaN,NaN,NaN,NaN,NaN,NaN,0,0,19.79,Inf,0,-28,-70,44,-27.6191,-70.6767,36.7516
NaN,NaN,0,0,251,0,0,0,10.25,Inf,0,0,-32,26,-1.4043,-33.8425,24.4694
NaN,NaN,NaN,NaN,NaN,NaN,0,0,9.96,Inf,0,-4,-24,28,-5.1103,-26.5447,26.8998
NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.139,5.91,5.65,0,10,-12,36,7.7797,-16.1295,35.3114
NaN,NaN,0,0,70,0,0,0,8.53,7.83,0,2,-38,6,0.6681,-37.6997,6.122
NaN,NaN,0,0,37,0,0,0,7.17,6.73,0,-20,32,2,-19.4755,27.9663,8.399
NaN,NaN,0,0.001,33,0,0,0,7.09,6.67,0,-34,-16,-10,-32.4047,-15.6381,-6.761
NaN,NaN,0,0.005,21,0.002,0,0.007,6.56,6.21,0,46,-18,32,41.1269,-21.5435,31.7592
NaN,NaN,NaN,NaN,NaN,NaN,0.005,0.545,5.6,5.38,0,46,-10,30,41.1697,-13.9165,30.6808
NaN,NaN,0,0.041,10,0.023,0,0.016,6.36,6.05,0,-12,-34,-2,-12.1835,-33.2093,-0.8768
NaN,NaN,0.001,0.165,4,0.13,0.002,0.18,5.85,5.6,0,-34,-2,-4,-32.4419,-3.1183,-0.1704
NaN,NaN,0.001,0.107,6,0.069,0.002,0.218,5.81,5.56,0,28,-6,14,24.7109,-8.7101,16.482
NaN,NaN,0,0.018,14,0.009,0.002,0.254,5.77,5.53,0,54,-18,8,48.8133,-19.4915,10.4632
NaN,NaN,0.004,0.444,1,0.444,0.004,0.368,5.69,5.46,0,-24,26,-24,-22.8847,24.6605,-15.394
NaN,NaN,0.001,0.165,4,0.13,0.004,0.407,5.67,5.44,0,26,-20,14,22.8265,-21.7429,15.2154
NaN,NaN,0.003,0.297,2,0.276,0.006,0.601,5.58,5.36,0,-12,-22,34,-12.5795,-25.1657,32.3092
NaN,NaN,0.003,0.297,2,0.276,0.007,0.717,5.53,5.32,0,52,-24,-14,47.2077,-23.1553,-9.7298
